1
//Index   Number   StartType   MonsterClass   CurrentState   NextIndex1   NextState1   NextIndex2   NextState2   NextIndex3   NextState3   RequireIndex   RequireGroup   RequireState   RequireMinLevel   RequireMaxLevel   RequireMinReset   RequireMaxReset   RequireFamily   RequireDoW   RequireCooldown   DW   DK   FE   MG   DL   SU
18        3        0           257            0              19           0            *            *            *            *            18             1              0              *                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
18        3        0           257            0              19           0            *            *            *            *            18             1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
19        3        0           257            0              20           1            *            *            *            *            19             1              0              *                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
19        3        0           257            0              20           1            *            *            *            *            19             1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
20        3        0           257            1              *            *            *            *            *            *            20             1              1              *                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
20        3        0           257            1              *            *            *            *            *            *            20             1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
21        4        0           257            0              22           0            *            *            *            *            20             1              3              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
21        4        0           257            0              22           0            *            *            *            *            21             1              0              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
21        4        0           257            0              22           0            *            *            *            *            21             1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
22        4        0           257            0              23           1            21           0            *            *            22             1              0              *                 *                 *                 *                 *               *            *                 0    0    1    0    0    0
22        4        0           257            0              23           1            21           0            *            *            22             1              4              1                 50                *                 *                 *               *            *                 0    0    1    0    0    0
22        4        0           257            0              24           1            21           0            *            *            22             1              0              *                 *                 *                 *                 *               *            *                 1    1    0    0    0    0
22        4        0           257            0              24           1            21           0            *            *            22             1              4              1                 50                *                 *                 *               *            *                 1    1    0    0    0    0
22        4        0           257            0              25           1            21           0            *            *            22             1              0              *                 *                 *                 *                 *               *            *                 0    0    0    0    0    1
22        4        0           257            0              25           1            21           0            *            *            22             1              4              1                 50                *                 *                 *               *            *                 0    0    0    0    0    1
23        4        0           257            1              *            *            *            *            *            *            23             1              1              *                 *                 *                 *                 *               *            *                 0    0    1    0    0    0
23        4        0           257            1              *            *            *            *            *            *            23             1              4              1                 50                *                 *                 *               *            *                 0    0    1    0    0    0
24        4        0           257            1              *            *            *            *            *            *            24             1              1              *                 *                 *                 *                 *               *            *                 1    1    0    0    0    0
24        4        0           257            1              *            *            *            *            *            *            24             1              4              1                 50                *                 *                 *               *            *                 1    1    0    0    0    0
25        4        0           257            1              *            *            *            *            *            *            25             1              1              *                 *                 *                 *                 *               *            *                 0    0    0    0    0    1
25        4        0           257            1              *            *            *            *            *            *            25             1              4              1                 50                *                 *                 *               *            *                 0    0    0    0    0    1
26        5        0           257            0              27           0            29           1            *            *            23             1              3              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
26        5        0           257            0              27           0            29           1            *            *            24             1              3              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
26        5        0           257            0              27           0            29           1            *            *            25             1              3              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
26        5        0           257            0              27           0            29           1            *            *            26             1              0              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
26        5        0           257            0              27           0            29           1            *            *            26             1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
27        5        0           257            0              28           0            29           1            *            *            27             1              0              *                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
27        5        0           257            0              28           0            29           1            *            *            27             1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
28        5        0           257            0              29           1            *            *            *            *            28             1              0              *                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
28        5        0           257            0              29           1            *            *            *            *            28             1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
29        5        0           257            1              *            *            *            *            *            *            29             1              1              *                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
29        5        0           257            1              *            *            *            *            *            *            29             1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
30        6        0           257            0              31           1            *            *            *            *            29             1              3              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
30        6        0           257            0              31           1            *            *            *            *            30             1              0              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
30        6        0           257            0              31           1            *            *            *            *            30             1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
31        6        0           257            1              *            *            *            *            *            *            31             1              1              *                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
31        6        0           257            1              *            *            *            *            *            *            31             1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
32        7        0           257            0              33           1            *            *            *            *            31             1              3              1                 50                *                 *                 *               *            *                 0    0    1    0    0    0
32        7        0           257            0              33           1            *            *            *            *            32             1              0              1                 50                *                 *                 *               *            *                 0    0    1    0    0    0
32        7        0           257            0              33           1            *            *            *            *            32             1              4              1                 50                *                 *                 *               *            *                 0    0    1    0    0    0
32        7        0           257            0              34           1            *            *            *            *            31             1              3              1                 50                *                 *                 *               *            *                 1    1    0    0    0    0
32        7        0           257            0              34           1            *            *            *            *            32             1              0              1                 50                *                 *                 *               *            *                 1    1    0    0    0    0
32        7        0           257            0              34           1            *            *            *            *            32             1              4              1                 50                *                 *                 *               *            *                 1    1    0    0    0    0
32        7        0           257            0              35           1            *            *            *            *            31             1              3              1                 50                *                 *                 *               *            *                 0    0    0    0    0    1
32        7        0           257            0              35           1            *            *            *            *            32             1              0              1                 50                *                 *                 *               *            *                 0    0    0    0    0    1
32        7        0           257            0              35           1            *            *            *            *            32             1              4              1                 50                *                 *                 *               *            *                 0    0    0    0    0    1
33        7        0           257            1              *            *            *            *            *            *            33             1              1              *                 *                 *                 *                 *               *            *                 0    0    1    0    0    0
33        7        0           257            1              *            *            *            *            *            *            33             1              4              1                 50                *                 *                 *               *            *                 0    0    1    0    0    0
34        7        0           257            1              *            *            *            *            *            *            34             1              1              *                 *                 *                 *                 *               *            *                 1    1    0    0    0    0
34        7        0           257            1              *            *            *            *            *            *            34             1              4              1                 50                *                 *                 *               *            *                 1    1    0    0    0    0
35        7        0           257            1              *            *            *            *            *            *            35             1              1              *                 *                 *                 *                 *               *            *                 0    0    0    0    0    1
35        7        0           257            1              *            *            *            *            *            *            35             1              4              1                 50                *                 *                 *               *            *                 0    0    0    0    0    1
end

7
//Index   Number   StartType   MonsterClass   CurrentState   NextIndex1   NextState1   NextIndex2   NextState2   NextIndex3   NextState3   RequireIndex   RequireGroup   RequireState   RequireMinLevel   RequireMaxLevel   RequireMinReset   RequireMaxReset   RequireFamily   RequireDoW   RequireCooldown   DW   DK   FE   MG   DL   SU
2         0        0           568            0              2            0            *            *            *            *            *              *              *              50                *                 *                 *                 *               *            *                 1    1    1    1    1    1
2         0        0           568            0              4            1            3            2            *            *            2              7              0              50                *                 *                 *                 *               *            *                 1    1    1    1    1    1
2         0        0           568            0              4            1            3            2            *            *            2              7              4              50                *                 *                 *                 *               *            *                 1    1    1    1    1    1
3         0        0           568            2              *            *            *            *            *            *            3              7              2              *                 *                 *                 *                 *               *            *                 1    1    1    1    1    1
3         0        0           568            2              *            *            *            *            *            *            3              7              4              50                *                 *                 *                 *               *            *                 1    1    1    1    1    1
4         0        0           568            1              *            *            *            *            *            *            4              7              1              *                 *                 *                 *                 *               *            *                 1    1    1    1    1    1
4         0        0           568            1              *            *            *            *            *            *            4              7              4              50                *                 *                 *                 *               *            *                 1    1    1    1    1    1
7         0        0           568            0              7            0            *            *            *            *            4              7              3              150               *                 *                 *                 *               *            *                 1    1    1    1    1    1
7         0        0           568            0              9            1            8            2            *            *            7              7              0              150               *                 *                 *                 *               *            *                 1    1    1    1    1    1
7         0        0           568            0              9            1            8            2            *            *            7              7              4              150               *                 *                 *                 *               *            *                 1    1    1    1    1    1
8         0        0           568            2              *            *            *            *            *            *            8              7              2              *                 *                 *                 *                 *               *            *                 1    1    1    1    1    1
8         0        0           568            2              *            *            *            *            *            *            8              7              4              150               *                 *                 *                 *               *            *                 1    1    1    1    1    1
9         0        0           568            1              *            *            *            *            *            *            9              7              1              *                 *                 *                 *                 *               *            *                 1    1    1    1    1    1
9         0        0           568            1              *            *            *            *            *            *            9              7              4              150               *                 *                 *                 *               *            *                 1    1    1    1    1    1
12        0        0           568            0              12           0            *            *            *            *            9              7              3              300               *                 *                 *                 *               *            *                 1    1    1    1    1    1
12        0        0           568            0              14           1            13           2            *            *            12             7              0              300               *                 *                 *                 *               *            *                 1    1    1    1    1    1
12        0        0           568            0              14           1            13           2            *            *            12             7              4              300               *                 *                 *                 *               *            *                 1    1    1    1    1    1
13        0        0           568            2              *            *            *            *            *            *            13             7              2              *                 *                 *                 *                 *               *            *                 1    1    1    1    1    1
13        0        0           568            2              *            *            *            *            *            *            13             7              4              300               *                 *                 *                 *               *            *                 1    1    1    1    1    1
14        0        0           568            1              *            *            *            *            *            *            14             7              1              *                 *                 *                 *                 *               *            *                 1    1    1    1    1    1
14        0        0           568            1              *            *            *            *            *            *            14             7              4              300               *                 *                 *                 *               *            *                 1    1    1    1    1    1
end

16
//Index   Number   StartType   MonsterClass   CurrentState   NextIndex1   NextState1   NextIndex2   NextState2   NextIndex3   NextState3   RequireIndex   RequireGroup   RequireState   RequireMinLevel   RequireMaxLevel   RequireMinReset   RequireMaxReset   RequireFamily   RequireDoW   RequireCooldown   DW   DK   FE   MG   DL   SU
0         0        0           543            0              1            1            2            2            *            *            *              *              *              240               299               *                 *                 1               *            *                 1    1    1    1    1    1
0         0        0           543            0              1            1            2            2            *            *            0              16             0              240               299               *                 *                 1               *            *                 1    1    1    1    1    1
0         0        0           543            0              1            1            2            2            *            *            0              16             4              240               299               *                 *                 1               *            *                 1    1    1    1    1    1
1         0        0           543            1              *            *            *            *            *            *            1              16             1              *                 *                 *                 *                 1               *            *                 1    1    1    1    1    1
1         0        0           543            1              *            *            *            *            *            *            1              16             4              240               299               *                 *                 1               *            *                 1    1    1    1    1    1
2         0        0           543            2              *            *            *            *            *            *            2              16             2              *                 *                 *                 *                 1               *            *                 1    1    1    1    1    1
2         0        0           543            2              *            *            *            *            *            *            2              16             4              240               299               *                 *                 1               *            *                 1    1    1    1    1    1
3         1        0           543            0              4            1            5            2            *            *            *              *              *              300               340               *                 *                 1               *            *                 1    1    1    1    1    1
3         1        0           543            0              4            1            5            2            *            *            3              16             0              300               340               *                 *                 1               *            *                 1    1    1    1    1    1
3         1        0           543            0              4            1            5            2            *            *            3              16             4              300               340               *                 *                 1               *            *                 1    1    1    1    1    1
4         1        0           543            1              *            *            *            *            *            *            4              16             1              *                 *                 *                 *                 1               *            *                 1    1    1    1    1    1
4         1        0           543            1              *            *            *            *            *            *            4              16             4              300               340               *                 *                 1               *            *                 1    1    1    1    1    1
5         1        0           543            2              *            *            *            *            *            *            5              16             2              *                 *                 *                 *                 1               *            *                 1    1    1    1    1    1
5         1        0           543            2              *            *            *            *            *            *            5              16             4              300               340               *                 *                 1               *            *                 1    1    1    1    1    1
6         2        0           543            0              7            1            8            2            *            *            *              *              *              341               360               *                 *                 1               *            *                 1    1    1    1    1    1
6         2        0           543            0              7            1            8            2            *            *            6              16             0              341               360               *                 *                 1               *            *                 1    1    1    1    1    1
6         2        0           543            0              7            1            8            2            *            *            6              16             4              341               360               *                 *                 1               *            *                 1    1    1    1    1    1
7         2        0           543            1              *            *            *            *            *            *            7              16             1              *                 *                 *                 *                 1               *            *                 1    1    1    1    1    1
7         2        0           543            1              *            *            *            *            *            *            7              16             4              341               360               *                 *                 1               *            *                 1    1    1    1    1    1
8         2        0           543            2              *            *            *            *            *            *            8              16             2              *                 *                 *                 *                 1               *            *                 1    1    1    1    1    1
8         2        0           543            2              *            *            *            *            *            *            8              16             4              341               360               *                 *                 1               *            *                 1    1    1    1    1    1
9         3        0           543            0              10           1            11           2            *            *            *              *              *              361               380               *                 *                 1               *            *                 1    1    1    1    1    1
9         3        0           543            0              10           1            11           2            *            *            9              16             0              361               380               *                 *                 1               *            *                 1    1    1    1    1    1
9         3        0           543            0              10           1            11           2            *            *            9              16             4              361               380               *                 *                 1               *            *                 1    1    1    1    1    1
10        3        0           543            1              *            *            *            *            *            *            10             16             1              *                 *                 *                 *                 1               *            *                 1    1    1    1    1    1
10        3        0           543            1              *            *            *            *            *            *            10             16             4              361               380               *                 *                 1               *            *                 1    1    1    1    1    1
11        3        0           543            2              *            *            *            *            *            *            11             16             2              *                 *                 *                 *                 1               *            *                 1    1    1    1    1    1
11        3        0           543            2              *            *            *            *            *            *            11             16             4              361               380               *                 *                 1               *            *                 1    1    1    1    1    1
12        4        0           543            0              13           1            14           2            *            *            *              *              *              381               *                 *                 *                 1               *            *                 1    1    1    1    1    1
12        4        0           543            0              13           1            14           2            *            *            12             16             0              381               *                 *                 *                 1               *            *                 1    1    1    1    1    1
12        4        0           543            0              13           1            14           2            *            *            12             16             4              381               *                 *                 *                 1               *            *                 1    1    1    1    1    1
13        4        0           543            1              *            *            *            *            *            *            13             16             1              *                 *                 *                 *                 1               *            *                 1    1    1    1    1    1
13        4        0           543            1              *            *            *            *            *            *            13             16             4              381               *                 *                 *                 1               *            *                 1    1    1    1    1    1
14        4        0           543            2              *            *            *            *            *            *            14             16             2              *                 *                 *                 *                 1               *            *                 1    1    1    1    1    1
14        4        0           543            2              *            *            *            *            *            *            14             16             4              381               *                 *                 *                 1               *            *                 1    1    1    1    1    1
end

17
//Index   Number   StartType   MonsterClass   CurrentState   NextIndex1   NextState1   NextIndex2   NextState2   NextIndex3   NextState3   RequireIndex   RequireGroup   RequireState   RequireMinLevel   RequireMaxLevel   RequireMinReset   RequireMaxReset   RequireFamily   RequireDoW   RequireCooldown   DW   DK   FE   MG   DL   SU
0         0        0           544            0              1            1            2            2            *            *            *              *              *              240               299               *                 *                 2               *            *                 1    1    1    1    1    1
0         0        0           544            0              1            1            2            2            *            *            0              17             0              240               299               *                 *                 2               *            *                 1    1    1    1    1    1
0         0        0           544            0              1            1            2            2            *            *            0              17             4              240               299               *                 *                 2               *            *                 1    1    1    1    1    1
1         0        0           544            1              *            *            *            *            *            *            1              17             1              *                 *                 *                 *                 2               *            *                 1    1    1    1    1    1
1         0        0           544            1              *            *            *            *            *            *            1              17             4              240               299               *                 *                 2               *            *                 1    1    1    1    1    1
2         0        0           544            2              *            *            *            *            *            *            2              17             2              *                 *                 *                 *                 2               *            *                 1    1    1    1    1    1
2         0        0           544            2              *            *            *            *            *            *            2              17             4              240               299               *                 *                 2               *            *                 1    1    1    1    1    1
3         1        0           544            0              4            1            5            2            *            *            *              *              *              300               340               *                 *                 2               *            *                 1    1    1    1    1    1
3         1        0           544            0              4            1            5            2            *            *            3              17             0              300               340               *                 *                 2               *            *                 1    1    1    1    1    1
3         1        0           544            0              4            1            5            2            *            *            3              17             4              300               340               *                 *                 2               *            *                 1    1    1    1    1    1
4         1        0           544            1              *            *            *            *            *            *            4              17             1              *                 *                 *                 *                 2               *            *                 1    1    1    1    1    1
4         1        0           544            1              *            *            *            *            *            *            4              17             4              300               340               *                 *                 2               *            *                 1    1    1    1    1    1
5         1        0           544            2              *            *            *            *            *            *            5              17             2              *                 *                 *                 *                 2               *            *                 1    1    1    1    1    1
5         1        0           544            2              *            *            *            *            *            *            5              17             4              300               340               *                 *                 2               *            *                 1    1    1    1    1    1
6         2        0           544            0              7            1            8            2            *            *            *              *              *              341               360               *                 *                 2               *            *                 1    1    1    1    1    1
6         2        0           544            0              7            1            8            2            *            *            6              17             0              341               360               *                 *                 2               *            *                 1    1    1    1    1    1
6         2        0           544            0              7            1            8            2            *            *            6              17             4              341               360               *                 *                 2               *            *                 1    1    1    1    1    1
7         2        0           544            1              *            *            *            *            *            *            7              17             1              *                 *                 *                 *                 2               *            *                 1    1    1    1    1    1
7         2        0           544            1              *            *            *            *            *            *            7              17             4              341               360               *                 *                 2               *            *                 1    1    1    1    1    1
8         2        0           544            2              *            *            *            *            *            *            8              17             2              *                 *                 *                 *                 2               *            *                 1    1    1    1    1    1
8         2        0           544            2              *            *            *            *            *            *            8              17             4              341               360               *                 *                 2               *            *                 1    1    1    1    1    1
9         3        0           544            0              10           1            11           2            *            *            *              *              *              361               380               *                 *                 2               *            *                 1    1    1    1    1    1
9         3        0           544            0              10           1            11           2            *            *            9              17             0              361               380               *                 *                 2               *            *                 1    1    1    1    1    1
9         3        0           544            0              10           1            11           2            *            *            9              17             4              361               380               *                 *                 2               *            *                 1    1    1    1    1    1
10        3        0           544            1              *            *            *            *            *            *            10             17             1              *                 *                 *                 *                 2               *            *                 1    1    1    1    1    1
10        3        0           544            1              *            *            *            *            *            *            10             17             4              361               380               *                 *                 2               *            *                 1    1    1    1    1    1
11        3        0           544            2              *            *            *            *            *            *            11             17             2              *                 *                 *                 *                 2               *            *                 1    1    1    1    1    1
11        3        0           544            2              *            *            *            *            *            *            11             17             4              361               380               *                 *                 2               *            *                 1    1    1    1    1    1
12        4        0           544            0              13           1            14           2            *            *            *              *              *              381               *                 *                 *                 2               *            *                 1    1    1    1    1    1
12        4        0           544            0              13           1            14           2            *            *            12             17             0              381               *                 *                 *                 2               *            *                 1    1    1    1    1    1
12        4        0           544            0              13           1            14           2            *            *            12             17             4              381               *                 *                 *                 2               *            *                 1    1    1    1    1    1
13        4        0           544            1              *            *            *            *            *            *            13             17             1              *                 *                 *                 *                 2               *            *                 1    1    1    1    1    1
13        4        0           544            1              *            *            *            *            *            *            13             17             4              381               *                 *                 *                 2               *            *                 1    1    1    1    1    1
14        4        0           544            2              *            *            *            *            *            *            14             17             2              *                 *                 *                 *                 2               *            *                 1    1    1    1    1    1
14        4        0           544            2              *            *            *            *            *            *            14             17             4              381               *                 *                 *                 2               *            *                 1    1    1    1    1    1
end

18
//Index   Number   StartType   MonsterClass   CurrentState   NextIndex1   NextState1   NextIndex2   NextState2   NextIndex3   NextState3   RequireIndex   RequireGroup   RequireState   RequireMinLevel   RequireMaxLevel   RequireMinReset   RequireMaxReset   RequireFamily   RequireDoW   RequireCooldown   DW   DK   FE   MG   DL   SU
0         0        0           257            0              1            1            2            2            *            *            *              *              *              1                 14                *                 *                 *               *            *                 1    1    1    1    1    1
0         0        0           257            0              1            1            2            2            *            *            0              18             0              1                 14                *                 *                 *               *            *                 1    1    1    1    1    1
0         0        0           257            0              1            1            2            2            *            *            0              18             4              1                 14                *                 *                 *               *            *                 1    1    1    1    1    1
1         0        0           257            1              *            *            *            *            *            *            1              18             1              *                 *                 *                 *                 *               *            *                 1    1    1    1    1    1
1         0        0           257            1              *            *            *            *            *            *            1              18             4              1                 14                *                 *                 *               *            *                 1    1    1    1    1    1
2         0        0           257            2              *            *            *            *            *            *            2              18             2              *                 *                 *                 *                 *               *            *                 1    1    1    1    1    1
2         0        0           257            2              *            *            *            *            *            *            2              18             4              1                 14                *                 *                 *               *            *                 1    1    1    1    1    1
3         1        0           257            0              4            1            8            2            *            *            *              *              *              15                25                *                 *                 *               *            *                 1    1    0    0    0    0
3         1        0           257            0              4            1            8            2            *            *            3              18             0              15                25                *                 *                 *               *            *                 1    1    0    0    0    0
3         1        0           257            0              4            1            8            2            *            *            3              18             4              15                25                *                 *                 *               *            *                 1    1    0    0    0    0
3         1        0           257            0              5            1            8            2            *            *            *              *              *              15                25                *                 *                 *               *            *                 0    0    0    1    1    0
3         1        0           257            0              5            1            8            2            *            *            3              18             0              15                25                *                 *                 *               *            *                 0    0    0    1    1    0
3         1        0           257            0              5            1            8            2            *            *            3              18             4              15                25                *                 *                 *               *            *                 0    0    0    1    1    0
3         1        0           257            0              6            1            8            2            *            *            *              *              *              15                25                *                 *                 *               *            *                 0    0    1    0    0    0
3         1        0           257            0              6            1            8            2            *            *            3              18             0              15                25                *                 *                 *               *            *                 0    0    1    0    0    0
3         1        0           257            0              6            1            8            2            *            *            3              18             4              15                25                *                 *                 *               *            *                 0    0    1    0    0    0
3         1        0           257            0              7            1            8            2            *            *            *              *              *              15                25                *                 *                 *               *            *                 0    0    0    0    0    1
3         1        0           257            0              7            1            8            2            *            *            3              18             0              15                25                *                 *                 *               *            *                 0    0    0    0    0    1
3         1        0           257            0              7            1            8            2            *            *            3              18             4              15                25                *                 *                 *               *            *                 0    0    0    0    0    1
4         1        0           257            1              *            *            *            *            *            *            4              18             1              *                 *                 *                 *                 *               *            *                 1    1    0    0    0    0
4         1        0           257            1              *            *            *            *            *            *            4              18             4              15                25                *                 *                 *               *            *                 1    1    0    0    0    0
5         1        0           257            1              *            *            *            *            *            *            5              18             1              *                 *                 *                 *                 *               *            *                 0    0    0    1    1    0
5         1        0           257            1              *            *            *            *            *            *            5              18             4              15                25                *                 *                 *               *            *                 0    0    0    1    1    0
6         1        0           257            1              *            *            *            *            *            *            6              18             1              *                 *                 *                 *                 *               *            *                 0    0    1    0    0    0
6         1        0           257            1              *            *            *            *            *            *            6              18             4              15                25                *                 *                 *               *            *                 0    0    1    0    0    0
7         1        0           257            1              *            *            *            *            *            *            7              18             1              *                 *                 *                 *                 *               *            *                 0    0    0    0    0    1
7         1        0           257            1              *            *            *            *            *            *            7              18             4              15                25                *                 *                 *               *            *                 0    0    0    0    0    1
8         1        0           257            2              *            *            *            *            *            *            8              18             2              *                 *                 *                 *                 *               *            *                 1    1    1    1    1    1
8         1        0           257            2              *            *            *            *            *            *            8              18             4              15                25                *                 *                 *               *            *                 1    1    1    1    1    1
9         2        0           257            0              10           1            14           2            *            *            *              *              *              26                35                *                 *                 *               *            *                 1    1    0    0    0    0
9         2        0           257            0              10           1            14           2            *            *            9              18             0              26                35                *                 *                 *               *            *                 1    1    0    0    0    0
9         2        0           257            0              10           1            14           2            *            *            9              18             4              26                35                *                 *                 *               *            *                 1    1    0    0    0    0
9         2        0           257            0              11           1            14           2            *            *            *              *              *              26                35                *                 *                 *               *            *                 0    0    0    1    1    0
9         2        0           257            0              11           1            14           2            *            *            9              18             0              26                35                *                 *                 *               *            *                 0    0    0    1    1    0
9         2        0           257            0              11           1            14           2            *            *            9              18             4              26                35                *                 *                 *               *            *                 0    0    0    1    1    0
9         2        0           257            0              12           1            14           2            *            *            *              *              *              26                35                *                 *                 *               *            *                 0    0    1    0    0    0
9         2        0           257            0              12           1            14           2            *            *            9              18             0              26                35                *                 *                 *               *            *                 0    0    1    0    0    0
9         2        0           257            0              12           1            14           2            *            *            9              18             4              26                35                *                 *                 *               *            *                 0    0    1    0    0    0
9         2        0           257            0              13           1            14           2            *            *            *              *              *              26                35                *                 *                 *               *            *                 0    0    0    0    0    1
9         2        0           257            0              13           1            14           2            *            *            9              18             0              26                35                *                 *                 *               *            *                 0    0    0    0    0    1
